,name,prices,rating,url
0,SPARTAN V2 Open Air GPU Mining Rig Frame Computer Case Chassis - Ethereum ETH Zcash ZEC Monero XMR,{},3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0429215YE0KI31IN138&url=https%3A%2F%2Fwww.amazon.com%2FSPARTAN-Mining-Frame-Computer-Chassis%2Fdp%2FB0764MTTS3%2Fref%3Dsr_1_1_sspa%2F142-4106304-6302114%3Fie%3DUTF8%26qid%3D1531724486%26sr%3D8-1-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724486&id=4109507004184124&widgetName=sp_atf
1,Gigabyte Geforce GTX 1050 2GB GDDR5 128 Bit PCI-E Graphic Card (GV-N1050OC-2GD),{'Base price': ['Suggested Retail Price: $149.99']},4.5 out of 5 stars,https://www.amazon.com/Gigabyte-Geforce-GDDR5-Graphic-GV-N1050OC-2GD/dp/B01MG0733A/ref=sr_1_2/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-2&keywords=GPU
2,MSI GAMING GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Single Fan Low Profile Graphics Card (GT 710 2GD3 LP),{'Base price': ['Suggested Retail Price: $54.99']},4.3 out of 5 stars,https://www.amazon.com/MSI-GT-710-2GD3-LP/dp/B01DOFD0G8/ref=sr_1_3/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-3&keywords=GPU
3,"EVGA GeForce GTX 1050 Ti SC GAMING, 4GB GDDR5, DX12 OSD Support (PXOC) Graphics Card 04G-P4-6253-KR",{'Base price': ['Suggested Retail Price: $219.99']},4.7 out of 5 stars,https://www.amazon.com/EVGA-GeForce-Support-Graphics-04G-P4-6253-KR/dp/B01MF7EQJZ/ref=sr_1_4/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-4&keywords=GPU
4,ASUS GeForce GTX 1060 6GB Dual-fan OC Edition VR Ready Dual HDMI DP 1.4 Gaming Graphics Card (DUAL-GTX1060-O6G),{},4.4 out of 5 stars,https://www.amazon.com/GeForce-Dual-fan-Gaming-Graphics-DUAL-GTX1060-O6G/dp/B01JHQT1SE/ref=sr_1_5/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-5&keywords=GPU
5,MSI GAMING GeForce GTX 1050 Ti 4GB GDRR5 128-bit HDCP Support DirectX 12 TORX 2.0 Fan Graphics Card (GTX 1050 TI GAMING X 4G),{'Base price': ['Suggested Retail Price: $239.99']},4.6 out of 5 stars,https://www.amazon.com/MSI-GAMING-GeForce-GTX-1050/dp/B01MA62JSZ/ref=sr_1_6/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-6&keywords=GPU
6,MSI Gaming Radeon RX 560 128-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card (RX 560 AERO ITX 4G OC),{'Base price': ['Suggested Retail Price: $169.99']},4.2 out of 5 stars,https://www.amazon.com/MSI-RX-560-AERO-ITX/dp/B072J422CZ/ref=sr_1_7/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-7&keywords=GPU
7,Gigabyte GeForce GTX 1060 Windforce OC 3GB GDDR5 Graphics Card,{'Base price': ['Suggested Retail Price: $259.99']},4.4 out of 5 stars,https://www.amazon.com/Gigabyte-GeForce-Windforce-GDDR5-Graphics/dp/B01KQUDE2Y/ref=sr_1_8/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-8&keywords=GPU
8,ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card (Cerberus-GTX1050Ti-O4G),{'Base price': ['Suggested Retail Price: $199.99']},5 out of 5 stars,https://www.amazon.com/Cerberus-GeForce-Gaming-Graphics-Cerberus-GTX1050Ti-O4G/dp/B079JSKCW3/ref=sr_1_9/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-9&keywords=GPU
9,"100x100x1.5mm Aikenuo Soft Thermal Silicone Pad 6W/m.k Thermal Conductivity Conductive, (Heatsink Grease Upgraded) Cooling silicon sheet Pads For Laptop GPU/CPU/VGA/IC/LED Reduce Work Temperature",{},4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0364802B4XAB48XNQKF&url=https%3A%2F%2Fwww.amazon.com%2F100x100x1-5mm-Aikenuo-Conductivity-Conductive-Temperature%2Fdp%2FB075JDF6JV%2Fref%3Dsr_1_10_sspa%2F142-4106304-6302114%3Fie%3DUTF8%26qid%3D1531724486%26sr%3D8-10-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724486&id=4109507004184124&widgetName=sp_mtf
10,Sonnet eGFX Breakaway Puck Radeon RX 570 (Mac & Windows Compatible),{},4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A03478753BOU3KPEBTZHZ&url=https%3A%2F%2Fwww.amazon.com%2FSonnet-Breakaway-Radeon-Windows-Compatible%2Fdp%2FB076MHMF3V%2Fref%3Dsr_1_11_sspa%2F142-4106304-6302114%3Fie%3DUTF8%26qid%3D1531724486%26sr%3D8-11-spons%26keywords%3DGPU%26psc%3D1&qualifier=1531724486&id=4109507004184124&widgetName=sp_mtf
11,PNY NVIDIA GeForce GTX 1060 6GB XLR8 Gaming Overclocked Graphics Card VCGGTX10606XGPB-OC2,{},4.4 out of 5 stars,https://www.amazon.com/PNY-GeForce-Overclocked-Graphics-VCGGTX10606XGPB-OC2/dp/B0792SPV7Q/ref=sr_1_12/142-4106304-6302114?ie=UTF8&qid=1531724486&sr=8-12&keywords=GPU
