,name,prices,rating,url
0,Dell Chromebook 11 3189 T8TJG 11.6-Inch Traditional Laptop (Black),{'Base price': ['Suggested Retail Price: $584.29']},3.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0552583HB1I0SX4H1KR&url=https%3A%2F%2Fwww.amazon.com%2FDell-Chromebook-T8TJG-11-6-Inch-Traditional%2Fdp%2FB06X9NWMJ8%2Fref%3Dsr_1_1_sspa%2F130-9159267-6182751%3Fie%3DUTF8%26qid%3D1518986743%26sr%3D8-1-spons%26keywords%3Dlaptop%26psc%3D1&qualifier=1518986743&id=746357034893492&widgetName=sp_atf
1,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",{},3.2 out of 5 stars,https://www.amazon.com/HP-Celeron-Processor-Personal-included/dp/B077R3YDV6/ref=sr_1_2/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-2&keywords=laptop
2,"Acer Aspire E 15 E5-575-33BM 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation , 4GB DDR4, 1TB 5400RPM HD, Intel HD Graphics 620, Windows 10 Home), Obsidian Black",{},3.5 out of 5 stars,https://www.amazon.com/Acer-E5-575-33BM-15-6-Inch-Notebook-Generation/dp/B01K1IO3QW/ref=sr_1_3/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-3&keywords=laptop
3,2017 HP High Performance Laptop PC 15.6-inch HD+ Display Intel Pentium Quad-Core Processor 8GB RAM 500GB HDD WIFI DVD HDMI Bluetooth Windows 10-Silver,{},2.2 out of 5 stars,https://www.amazon.com/HP-Performance-15-6-inch-Quad-Core-Processor/dp/B0778HR29P/ref=sr_1_4/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-4&keywords=laptop
4,"RCA Viking Pro 10.1"" 2-in-1 Tablet 32GB Quad Core Purple Laptop Computer with Touchscreen and Detachable Keyboard Google Android 5.0 Lollipop",{},3.8 out of 5 stars,https://www.amazon.com/Viking-Pro-Computer-Touchscreen-Detachable/dp/B0174AX43I/ref=sr_1_5/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-5&keywords=laptop
5,"2018 Newest Flagship Lenovo IdeaPad 320 15.6"" Full HD Anti-Glare Laptop - Intel Dual-Core i7-7500U Up to 3.5GHz 8GB DDR4 1TB HDD DVD±RW 802.11ac HDMI Bluetooth Webcam 4 in 1 card reader Win 10",{},,https://www.amazon.com/Flagship-Lenovo-IdeaPad-320-Anti-Glare/dp/B0791LDGPN/ref=sr_1_6/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-6&keywords=laptop
6,"Samsung Chromebook 3, 11.6"", 4GB RAM, 16GB eMMC, Chromebook (XE500C13-K04US)",{},4.2 out of 5 stars,https://www.amazon.com/Samsung-Chromebook-11-6-16GB-XE500C13-K04US/dp/B01N5P6TJW/ref=sr_1_7/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-7&keywords=laptop
7,"HP EliteBook 840 G1 14"" HD Business Laptop Computer Ultrabook, Intel Core i5-4300U 1.9 GHz Processor, 8GB RAM, 128GB SSD, USB 3.0, VGA, Wifi, RJ45, Windows 10 Professional (Certified Refurbished)",{},5 out of 5 stars,https://www.amazon.com/HP-840-G1-Professional-Refurbished/dp/B079C4D47R/ref=sr_1_8/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-8&keywords=laptop
8,"2018 Newest Dell Premium Business Flagship Laptop PC 15.6"" HD LED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD HDMI DVD-RW Bluetooth Webcam MaxxAudio Windows 10-Black",{'Base price': ['Suggested Retail Price: $799.00']},5 out of 5 stars,https://www.amazon.com/Dell-LED-backlit-Processor-Bluetooth-MaxxAudio/dp/B078YD9V3X/ref=sr_1_9/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-9&keywords=laptop
9,"HP Stream Laptop PC - 14"" HD, Intel Celeron N3060, 4 GB RAM, 32 GB eMMC, Office 365 Personal for one year - 14-ax010nr",{},3.4 out of 5 stars,https://www.amazon.com/HP-Stream-Laptop-PC-14-ax010nr/dp/B01JLCKP34/ref=sr_1_10/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-10&keywords=laptop
10,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",{'Base price': ['Suggested Retail Price: $359.99']},3.6 out of 5 stars,https://www.amazon.com/HP-15-6-Inch-Touchscreen-Pentium-DDR3L-1600/dp/B077PQ1VNY/ref=sr_1_11/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-11&keywords=laptop
11,"Samsung XE303C12-A01US Samsung Exynos 5250 X2 1.7GHz 2GB 16GB SSD 11.6"",Silver(Certified Refurbished)",{},2.8 out of 5 stars,https://www.amazon.com/Samsung-XE303C12-A01US-Exynos-Certified-Refurbished/dp/B06XD3QBLZ/ref=sr_1_12/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-12&keywords=laptop
12,"Samsung Chromebook 3 XE500C13-K01US / S01US 2 GB RAM 16GB SSD 11.6"" Laptop (Certified Refurbished)",{},3.8 out of 5 stars,https://www.amazon.com/Samsung-Chromebook-XE500C13-K01US-S01US-Refurbished/dp/B072J8ZNX6/ref=sr_1_13/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-13&keywords=laptop
13,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",{},3.4 out of 5 stars,https://www.amazon.com/HP-Stream-14-ax020nr-Celeron-Personal/dp/B01JLCKP1Q/ref=sr_1_14/130-9159267-6182751?ie=UTF8&qid=1518986743&sr=8-14&keywords=laptop
